シーズン,試合タイプ,チーム,背番号,選手名,勝利,敗北,セーブ,ホールド,ホールドポイント,登板数,投球回,勝率,防御率,WHIP,失点率,試合あたり失点,被安打率,被本塁打率,奪三振率,与四球率,奪三振/四球比,対戦打者数,被安打,失点,自責点,被本塁打,奪三振,与四球,敬遠,死球,暴投,ボーク,完投,完封,無四球試合,先発数,救援完了,選手ID
2024,Regular Season,楽天イーグルス,13,"Ponce, Cody",3,6,0,0.0,0.0,15,67.0,0.333,6.72,1.612,7.388,3.667,12.358,0.806,7.522,2.149,3.5,308,92,55,50,6,56,16,0,5,3,0,1,0,0,12,1,83085155
2024,Regular Season,オリックス,19,"Yamaoka, Taisuke",0,0,0,1.0,1.0,6,5.1,0.0,3.38,1.125,3.375,0.333,8.438,1.688,8.438,1.688,5.0,21,5,2,2,1,5,1,0,0,0,0,0,0,0,0,2,83185134
2024,Regular Season,中日ドラゴンズ,93,"Feliz, Michael",0,1,0,0.0,0.0,17,17.1,0.0,5.19,1.327,5.192,0.588,7.788,1.038,5.192,4.154,1.25,74,15,10,10,2,10,8,0,0,3,0,0,0,0,0,4,83285157
2024,Climax Series - Final Stage,読売巨人,53,"Takanashi, Yuhei",0,0,0,,,4,3.1,0.0,0.0,0.3,0.0,0.0,2.7,0.0,8.1,0.0,,9,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,91095134
2024,Regular Season,読売巨人,53,"Takanashi, Yuhei",4,3,0,25.0,29.0,51,35.1,0.571,2.04,1.16,2.292,0.176,6.623,0.255,7.387,3.821,1.933,145,26,9,8,1,29,15,2,0,1,0,0,0,0,0,5,91095134
2024,Climax Series - First Stage,阪神タイガース,29,"Takahashi, Haruto",0,1,0,,,1,5.0,0.0,7.2,1.4,7.2,4.0,10.8,0.0,7.2,1.8,4.0,23,6,4,4,0,4,1,0,1,0,0,0,0,0,1,0,91095136
2024,Regular Season,阪神タイガース,29,"Takahashi, Haruto",4,1,0,0.0,0.0,5,29.2,0.8,1.52,0.809,1.517,1.0,6.067,0.0,8.494,1.213,7.0,114,20,5,5,0,28,4,0,1,1,0,0,0,0,5,0,91095136
2024,Regular Season,読売巨人,48,"Tanaka, Chiharu",0,0,0,0.0,0.0,3,4.0,0.0,0.0,0.5,0.0,0.0,4.5,0.0,9.0,0.0,,14,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,91095157
2024,Regular Season,西武ライオンズ,47,"Sugiyama, Haruki",0,1,0,0.0,0.0,1,3.0,0.0,0.0,1.667,18.0,6.0,15.0,0.0,6.0,0.0,,17,5,6,0,0,2,0,0,1,1,0,0,0,0,1,0,91095159
2024,Regular Season,千葉ロッテ,46,"Iwashita, Daiki",2,0,0,3.0,5.0,21,21.2,1.0,2.91,1.015,2.908,0.333,5.4,0.831,5.4,3.738,1.444,85,13,7,7,2,13,9,0,0,2,0,0,0,0,1,3,91395130
2024,Regular Season,読売巨人,52,"Itoh, Yusuke",0,0,0,1.0,1.0,8,8.2,0.0,1.04,0.923,1.038,0.125,5.192,0.0,8.308,3.115,2.667,32,5,1,1,0,8,3,0,1,0,0,0,0,0,0,2,91395153
2024,Regular Season,西武ライオンズ,11,"Ueda, Taiga",0,0,0,1.0,1.0,17,23.1,0.0,2.7,1.286,2.7,0.412,6.557,0.771,4.243,5.014,0.846,99,17,7,7,2,11,13,0,0,1,0,0,0,0,1,9,91395159
2024,Regular Season,千葉ロッテ,40,"Nishimura, Takahiro",0,0,0,7.0,7.0,17,17.2,0.0,6.62,1.585,6.623,0.765,9.17,0.509,7.642,5.094,1.5,80,18,13,13,1,15,10,0,0,3,0,0,0,0,0,3,91495136
